steming_data,Score,Sentiment
henti langgan aplikasi mudah henti langgan ganti devise android ios ios pimdah android tera langgan apa berbenti langgan info support get contact bantu sistem mengentikan langgan google playstore tunjuk evidence langgan,1,Positif
bantu fitur free ya batas lihat tag free user jatah gratis tag alas user pakai sepenuh free iklan apps ya kecuali iklan hilang sepenuh sila cut featurenya,6,Positif
duh sayang banget fiturnya premium aplikasi bagus aplikasi premium nikmat firurnya ya bawah rbbulan oke jarang banget makenya doang langgan premium ya sayang banget kepake v,8,Positif
sayang banget bayar premium bulan kayak nikmat fiturnya iklan gapapa langgan lumayan sayang dipakenya moga gratis ya fitur,5,Positif
bantu aplikasi ganti hp instal aplikasi ya daftar masuk sulit bintang ya login daftar baik bintang full,-1,Negatif
keren lihat nomer orang udha habis top upnya mahal ribu atas ramah guna gratis beli premium savevan nama kontak orang minimal fitur lihat iklan tambah jatah biar guna gratis guna leluasa nih developer kikir kasih solusi guna gratis,13,Positif
sayang ya getcontact cari premium bantu cari nomor nomor oknum tipu beda rilis aplikasi enak fiturnya bad banget,-1,Negatif
aplikasi bayar kemarin bagus lihat nama tag nomer telpon tau tipu iklan bayar bayar iklan iklan bayar,-1,Negatif
aplikasi bantu premium free premium akun indikasi tipu privilage sembunyi identitas baca nomor bayar antisipasi sih tipu bayar rugi kali mending uninstall,1,Positif
aplikasi bantu aplikasi guna rugi nama asli data asli penggina no kenal masuk aplikasi,-3,Negatif
jelek fitur nonaktif langgan nyedot saldo uninstall notifikasi batal langgananitupun google play aplikasi nyajadi langgan pikir lagitakutnya saldo kurang cuman uang daun,1,Positif
fitur channel sex group chat benarbenar sesuai fungsi utama aplikasi fitur bayar aplikasi aplikasi saing skema rasa fitur bayar gratis,-1,Negatif
kecewa gercontact rame pakai tau nomor tipu buruk nomor tipu sembunyi alhasil nomor tipu inti nya aplikasi guna fungsi,-2,Negatif
gue download get contact cari nomer terima telpon list nama nama contact gue gue bawa ribet kayak aplikasi bantu banget kayak kecewa,-3,Negatif
getcontack bantu guna percumaa lacak nomor orang kenaltetapi sih penguna sembunyi nomor ya guna sepeerti aplikasi fungsi tipu mudah sembunyi nomor ya kecewa banget sih getcontack sepeerti,4,Positif
aplikasi premium profil orang cari nomor buka foto orang moga getcontack update ya lihat profil orang nomor orang,3,Positif
bagus lihat tagar nomor orang kontak bayar itu langgan kali bayar ya mending gue hapus uninstall manfaat dikit bayar bayar cuman orang lihat kontak banyak bayar,1,Positif
mohon maaf nih ya harap tau orang nama kontak pas coba nama nama kudu pindah premium alias mbayar situ harap suruh mbayar pindah premium muas orang,3,Positif
getcontact bagus lihat namanama kontak fitur bayar akses kecewa aplikasi bantu banget,2,Positif
aplikasi guna langgan premium fitur beda ya tag nama orang nama cari tambah tag lambat update tag ya,4,Positif
fungsi saran didownload iklan fitur utama bayar aplikasi pakai bayar aplikasi pakai sbulan kali maksimal kali profesional,-1,Negatif
aplikasi bagus lihat nama kontak orang gratis bayar bulan uang bayar kecewa moga aplikasi gratis amin,1,Positif
aplikasi lambatpadahal verifikasi kali kode akurat email beri kode verifikasi lambatdari malam tunggu pagi jam kode kasih,-5,Negatif
sulit login verifikasi nomor nomor sinyal bagus verifikasi bosss bayar langgan re login parah,-1,Negatif
harga premium mahal bejir lihat tag orang free msti premium harga murah minimal fitur iklan buka jelek nih apk,5,Positif
mampus lu gua terima premium tau orang uang direkomemdasikan sih aplikasi jelek ya premium muluh gua aplikasi premium ya premium uang,1,Positif
aplikasi busuksekarang lihat tag orang premiummana iklan aplikasi rusaksudah bantu rekomend aplikasi rusak,-2,Negatif
